Rank,US City,US State,Population 2024,Population 2020,Annual Change,Density (/mile2),Area (mile2)
113,Baton Rouge,Louisiana,217342,226264,-0.0102,2500,86.94
114,Moreno Valley,California,213566,208868,0.0055,4162,51.31
115,Salt Lake City,Utah,212570,200660,0.0142,1917,110.89
116,Sioux Falls,South Dakota,210734,193437,0.021,2549,82.67
117,Fayetteville,North Carolina,209942,209170,0.0009,1416,148.27
118,Des Moines,Iowa,209232,213826,-0.0055,2373,88.16
119,Worcester,Massachusetts,208476,205056,0.0041,5580,37.36
120,Yonkers,New York,206544,210994,-0.0054,11471,18.01
121,Rochester,New York,206078,210862,-0.0058,5763,35.76
122,Little Rock,Arkansas,204244,202634,0.002,1698,120.28
123,Grand Prairie,Texas,204093,196255,0.0097,2815,72.51
124,Tallahassee,Florida,203650,197933,0.0071,1988,102.43
125,Amarillo,Texas,203035,200526,0.0031,1960,103.61
126,Peoria,Arizona,201001,191997,0.0113,1138,176.7
127,Augusta-Richmond County (balance),Georgia,200512,201999,-0.0018,663,302.28
128,Knoxville,Tennessee,200400,191446,0.0113,2030,98.73
129,Columbus,Georgia,200167,207006,-0.0085,925,216.5
130,Sunrise Manor,Nevada,198463,198187,0.0003,5887,33.71
131,Vancouver,Washington,198163,191278,0.0088,4065,48.75
132,Oxnard,California,197347,201911,-0.0057,7434,26.55
133,Overland Park,Kansas,196874,197734,-0.0011,2617,75.22
134,Grand Rapids,Michigan,195908,198707,-0.0036,4375,44.78
135,Birmingham,Alabama,195400,200375,-0.0063,1329,147.07
136,Montgomery,Alabama,193702,200041,-0.0081,1212,159.86
137,Tempe,Arizona,191336,185328,0.0079,4786,39.98
138,Brownsville,Texas,191209,187004,0.0055,1451,131.8
139,Providence,Rhode Island,190807,190745,0.0001,10367,18.41
140,Huntington Beach,California,190037,198405,-0.0109,7043,26.98
141,Paradise,Nevada,189495,193150,-0.0006,4469,42.4
142,Chattanooga,Tennessee,188850,181568,0.0097,1327,142.35
143,Akron,Ohio,188219,190146,-0.0026,3039,61.93
144,Clarksville,Tennessee,185118,167509,0.0244,1856,99.75
145,Fort Lauderdale,Florida,184709,182892,0.0025,5341,34.58
146,Ontario,California,184705,175712,0.0123,3695,49.98
147,Glendale,California,184088,195934,-0.0158,6040,30.48
148,Newport News,Virginia,182141,186047,-0.0053,2640,69.0
149,Cary,North Carolina,181754,174778,0.0097,3023,60.13
150,Mobile,Alabama,181253,186621,-0.0073,1299,139.48
151,Elk Grove,California,179069,176569,0.0035,4203,42.6
152,Eugene,Oregon,178056,177428,0.0009,4006,44.45
153,Salem,Oregon,177928,175942,0.0028,3636,48.93
154,Aurora,Illinois,176679,180215,-0.005,3922,45.05
155,Santa Rosa,California,175140,177959,-0.004,4117,42.54
156,Shreveport,Louisiana,174996,186848,-0.0167,1618,108.14
157,Rancho Cucamonga,California,174312,174683,-0.0005,3748,46.51
