,title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
642,Proud Mary,4.6,4562,Prime Video,2018,R,Babak Najafi,"Taraji P. Henson,Billy Brown,Jahi Di'Allo Winston",3.89
643,Steven Michael Quezada: The New Mexican,4.1,11,Prime Video,2022,,Brian Volk Weiss,Steven Michael Quezada,
644,The Equalizer 2,4.7,58673,Prime Video,2018,R,Antoine Fuqua,"Denzel Washington,Pedro Pascal,Ashton Sanders",3.59
645,Daniel Visits a New Neighborhood,4.8,107,Prime Video,2022,,Tammy Langton,"Asher Bolduc-Theron,Heather Bambrick,Ted Dykstra",1.99
646,Suicide Squad,4.7,7649,Prime Video,2016,PG-13,David Ayer,"Will Smith,Jared Leto,Margot Robbie,Viola Davis",
647,Bodies Bodies Bodies,4.0,2841,Prime Video,2022,R,Not Specified,"Amandla Stenberg,Pete Davidson,Lee Pace",4.69
648,John Tucker Must Die,4.6,4132,Prime Video,2006,PG-13,Betty Thomas,"Jesse Metcalfe,Brittany Snow,Sophia Bush",3.79
649,Twisted,4.4,841,Prime Video,2004,R,Philip Kaufman,"Ashley Judd,Samuel L. Jackson,Andy Garcia",3.29
650,Along with the Gods: The Two Worlds,4.6,1249,Prime Video,2017,,KIM Yong-hwa,"HA Jung-woo,CHA Tae-hyun,JU Ji-hoon,KIM Hyang-gi",
651,The Conjuring: The Devil Made Me Do It,4.5,23522,Prime Video,2021,R,Michael Chaves,"Patrick Wilson,Vera Farmiga,Ruairi O'Connor",
652,Bent,4.0,1035,Prime Video,2018,R,"Robert ""Bobby"" Moresco","Crime,Thriller",
653,Everything Everywhere All At Once,4.4,34015,Prime Video,2022,R,"Daniel Scheinert,Dan Kwan","Michelle Yeoh,Stephanie Hsu,Ke Huy Quan,Jenny Slate",3.99
654,The Next Three Days,4.5,3266,Prime Video,2010,PG-13,Paul Haggis,"Russell Crowe,Elizabeth Banks,Brian Dennehy",3.79
655,Sabotage,4.3,2211,Prime Video,2014,R,David Ayer,"Arnold Schwarzenegger,Sam Worthington",3.79
656,Up in Smoke,4.7,7776,Prime Video,1978,R,Lou Adler,"Cheech Marin,Thomas,Edie Adams,Stacy Keach",3.79
657,Tomorrow Is Forever,4.7,379,Prime Video,1946,,"Pichel,Irving","Claudette Colbert,Orson Welles,George Brent",
658,Finders Keepers,4.2,282,Prime Video,2014,R,Alexander Yellen,"Jaime Pressly,Patrick Muldoon,Tobin Bell",
659,MFKZ,4.5,764,Prime Video,2018,R,"Guillaume ""Run"" Renard,Shojiro Nishimi","Michael Chiklis,Giancarlo Esposito,Dascha Polanco,RZA",3.99
660,Respect,4.5,32179,Prime Video,2021,PG-13,Liesl Tommy,"Jennifer Hudson,Forest Whitaker,Marlon Wayans",3.99
661,For Your Eyes Only,4.6,2248,Prime Video,1981,PG,John Glen,"Roger Moore,Carole Bouquet,Topol,Lynn-Holly Johnson",3.99
662,Catwoman,4.6,4068,Prime Video,2004,PG-13,Pitof,"Halle Berry,Sharon Stone,Benjamin Bratt",2.89
663,The Green Hornet,4.3,2671,Prime Video,2011,PG-13,Michel Gondry,"Edward James Olmos,Seth Rogen,David Harbour",
664,Stalin's Executioners: The Katyn Massacre,4.5,2,Prime Video,2023,,,Cédric Tourbe,
665,Fatal Attraction,4.7,4699,Prime Video,1987,R,Adrian Lyne,"Michael Douglas,Glenn Close,Anne Archer,Ellen Latzen",
666,The Pianist,4.7,5365,Prime Video,2003,R,Roman Polanski,"Adrien Brody,Emilia Fox,Michal Zebrowski,Ed Stoppard",9.99
667,Beethoven,4.7,4792,Prime Video,1992,PG,Brian Levant,"Nicholle Tom,Christopher Castile,Sarah Rose Karr",3.79
668,The Firm,4.6,1742,Prime Video,1993,R,Sydney Pollack,"Tom Cruise,Jeanne Tripplehorn,Gene Hackman",3.99
669,The Day of the Jackal,4.7,2723,Prime Video,1973,PG,Fred Zinnemann,"Edward Fox,Michel Lonsdale,Tony Britton",3.79
670,The Truman Show,4.7,14547,Prime Video,1998,PG,Peter Weir,"Ed Harris,Holland Taylor,Jim Carrey,Laura Linney",3.79
671,Lansky,4.1,5066,Prime Video,2021,R,Eytan Rockaway,"Harvey Keitel,Sam Worthington,Annasophia Robb",2.99
672,X,4.0,8240,Prime Video,2022,R,Ti West,"Mia Goth,Jenna Ortega,Brittany Snow,Kid Cudi",3.59
673,10 Cloverfield Lane,4.4,9513,Prime Video,2016,PG-13,Dan Trachtenberg,"John Goodman,Mary Elizabeth Winstead",3.99
674,Intersection,4.4,565,Prime Video,1994,R,Mark Rydell,"Richard Gere,Sharon Stone,Lolita Davidovich",3.79
675,Blade,4.7,7841,Prime Video,1998,R,Stephen Norrington,"Donal Logue,N'bushe Wright,Kris Kristofferson",
676,The Way Home,4.7,1147,Prime Video,2016,PG,Lance W Dreesen,"Pierce Gagnon,Dean Cain,Tom Nowicki,Brett Rice",
677,9/11: Minute by Minute,4.1,255,Prime Video,2021,,Piers Garland,"Betty Ong,Nydia Gonzalez,George W. Bush",2.99
678,The Crow: Salvation,4.5,267,Prime Video,2000,R,Bharat Nalluri,"Kristen Dunst,Walton Goggins",
679,Red (4K UHD),4.8,1999,Prime Video,2010,PG-13,Robert Schwentke,"Bruce Willis,Helen Mirren,Morgan Freeman",3.99
680,Christmas with Felicity,4.2,5,Prime Video,2021,,Jack C. Newell,"Sarah Brooks,Herb Porter,Saige Chaseley",
681,That Awkward Moment,4.6,4582,Prime Video,2014,R,Tom Gormican,"Zac Efron,Josh Pais,Michael B. Jordan,Imogen Poots",
682,Jules,4.5,136,Prime Video,2023,PG-13,Marc Turtletaub,"Ben Kingsley,Jane Curtin,Harriet Samson Harris",5.99
683,Zombieland: Double Tap,4.5,45087,Prime Video,2019,R,Ruben Fleischer,"Woody Harrelson,Jesse Eisenberg,Emma Stone",3.59
684,Mad Max,4.5,4880,Prime Video,1980,R,George Miller,"Mel Gibson,Steve Bisley",
685,Mission: Impossible - Fallout,4.6,23398,Prime Video,2018,PG-13,Christopher McQuarrie,"Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg",3.79
686,Rango,4.7,7251,Prime Video,2011,PG,Gore Verbinski,"Johnny Depp,Timothy Olyphant,Abigail Breslin",3.99
687,Back to School,4.7,2017,Prime Video,1986,PG-13,"Metter,Alan","Rodney Dangerfield,Sally Kellerman,Burt Young",3.49
688,That Awkward Moment,4.6,4582,Prime Video,2014,R,Tom Gormican,"Zac Efron,Josh Pais,Michael B. Jordan,Imogen Poots",
689,Rango,4.7,7251,Prime Video,2011,PG,Gore Verbinski,"Johnny Depp,Timothy Olyphant,Abigail Breslin",3.99
690,The Nun II Extended Preview,5.0,1,Prime Video,2023,,Michael Chaves,"Taissa Farmiga,Jonas Bloquet,Storm Reid",
691,X,4.0,8240,Prime Video,2022,R,Ti West,"Mia Goth,Jenna Ortega,Brittany Snow,Kid Cudi",3.59
692,Cobweb,4.0,1760,Prime Video,2023,R,Samuel Bodin,"Lizzy Caplan,Woody Norman,Cleopatra Coleman",5.99
693,Batman (1989),4.7,11102,Prime Video,1989,PG-13,Tim Burton,"Michael Keaton,Jack Nicholson,Kim Basinger",2.99
694,Godzilla vs. Kong,4.6,40533,Prime Video,2021,PG-13,Adam Wingard,"Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall",
695,According To Greta,4.2,220,Prime Video,2009,PG-13,Nancy Bardawil,"Hilary Duff,Ellen Burstyn,Michael Murphy,Evan Ross",
696,¿Quieres ser mi hijo?,5.0,1,Prime Video,2023,,Ihtzi Hurtado,"Juanpa Zurita,Ludwika Paleta",
697,Look Away,4.0,3010,Prime Video,2018,,Assaf Bernstein,"India Eisley,Jason Isaacs,Mira Sorvino",2.99
698,Thunderball,4.7,3276,Prime Video,1965,PG,Terence Young,"Sean Connery,Claudine Auger,Adolfo Celi",3.89
699,Impact Winter: An Audible Original Audio Series,5.0,10,Prime Video,2022,,Travis Beacham,"Holliday Grainger,Esme Creed-Miles,Caroline Ford",
700,Zack And Miri Make A Porno,4.6,1705,Prime Video,2008,R,Kevin Smith,"Seth Rogen,Elizabeth Banks,Craig Robinson,Justin Long",3.79
701,Jewel,4.2,42,Prime Video,2001,,Paul Shapiro,"Farrah Fawcett,Cicely Tyson,Patrick Bergin",
702,The Boogeyman,4.3,470,Prime Video,2023,PG-13,Rob Savage,"Sophie Thatcher,Chris Messina,Vivien Lyra Blair",5.99
703,Our Friend,4.5,8344,Prime Video,2021,R,Gabriela Cowperthwaite,"Jason Segel,Dakota Johnson,Casey Affleck",3.99
704,The Earthing Movie,4.7,235,Prime Video,2017,,"Josh Tickell,Rebecca Tickell","Deepak Chopra,Mariel Hemmingway,Amy Smart",
705,The Program,4.7,2513,Prime Video,1993,R,David S. Ward,"James Caan,Halle Berry,Omar Epps,Craig Sheffer",3.79
706,A Bride for Christmas,4.5,410,Prime Video,2012,,Gary Yates,"Arielle Kebbel,Andrew W. Walker,Kimberley Sustad",2.99
707,Death Becomes Her,4.8,14412,Prime Video,1992,PG-13,Robert Zemeckis,"Goldie Hawn,Bruce Willis,Meryl Streep",3.79
708,Lucy,4.6,35319,Prime Video,2014,R,Luc Besson,"Scarlett Johansson,Morgan Freeman,Min-sik Choi",
709,Unseen,4.0,70,Prime Video,2023,,Yoko Okumura,"Midori Francis,Jolene Purdy,Missi Pyle",
710,The Outsider,4.6,82,Prime Video,2002,R,Randa Haines,"Naomi Watts,Keith Carradine,David Carradine",
711,American Gothic,4.5,302,Prime Video,1988,R,John Hough,"Sarah Torgov,Terence Kelly",
712,Being Frank,4.1,821,Prime Video,2019,R,Miranda Bailey,"Jim Gaffigan,Logan Miller,Samantha Mathis",
713,Susie's Hope,4.5,1054,Prime Video,2014,PG-13,Jerry Rees,"Emmanuelle Vaguer,Burgess Jenkins,John Provost",
714,Jamesy Boy,4.5,250,Prime Video,2014,,Trevor White,"Mary-Louise Parker,Ving Rhames,James Woods",2.99
715,Waterworld,4.7,10540,Prime Video,1995,PG-13,Kevin Reynolds,"Kevin Costner,Dennis Hopper,Jeanne Tripplehorn",3.79
716,The Imposter,4.0,433,Prime Video,2012,R,Bart Layton,"Frederic Bourdin,Adam O'Brian,Carey Gibson,Anna Ruben",
717,Halloween II,4.7,12733,Prime Video,1981,,Rick Rosenthal,"Jamie Lee Curtis,Donald Pleasence",3.99
718,"Six Days, Seven Nights",4.7,10579,Prime Video,1998,PG-13,Ivan Reitman,"Harrison Ford,Anne Heche,David Schwimmer",
719,The King's Daughter,4.4,492,Prime Video,2022,PG,Sean Mcnamara,"Pierce Brosnon,Kaya Scodelario,William Hurt",
720,A Good Person,4.6,1557,Prime Video,2023,R,Zach Braff,"Florence Pugh,Morgan Freeman,Celeste O'Connor",5.99
721,ParaNorman,4.8,8413,Prime Video,2012,PG,"Chris Butler,Sam Fell","Leslie Mann,Casey Affleck,Kodi Smit-McPhee",3.59
722,Mr. Church,4.8,21715,Prime Video,2016,PG-13,Bruce Beresford,"Eddie Murphy,Britt Robertson,Natascha McElhone",
723,The Imposter,4.0,433,Prime Video,2012,R,Bart Layton,"Frederic Bourdin,Adam O'Brian,Carey Gibson,Anna Ruben",
724,American Gothic,4.5,302,Prime Video,1988,R,John Hough,"Sarah Torgov,Terence Kelly",
725,Halloween II,4.7,12733,Prime Video,1981,,Rick Rosenthal,"Jamie Lee Curtis,Donald Pleasence",3.99
726,Rabbit Hole,4.0,1126,Prime Video,2011,PG-13,John Cameron Mitchell,"Nicole Kidman,Aaron Eckhart,Dianne Wiest",
727,Hitman,4.6,5874,Prime Video,2007,R,Xavier Gens,"Timothy Olyphant,Robert Knepper,Dougray Scott",3.99
728,You Only Live Twice,4.7,2458,Prime Video,1967,PG,Lewis Gilbert,Sean Connery,3.99
729,Susie's Hope,4.5,1054,Prime Video,2014,PG-13,Jerry Rees,"Emmanuelle Vaguer,Burgess Jenkins,John Provost",
730,Beyond Hoarding,4.1,101,Prime Video,2019,,David C. Coffin,"Hillary Estner,John Tikson,Helen Chiarello",
731,A Shot in the Dark,4.6,1099,Prime Video,1965,PG,Blake Edwards,"Peter Sellers,Elke Sommer,George Sander",
732,Fall,4.4,176,Prime Video,1997,,Eric Schaeffer,"Eric Schaeffer,Amanda De Cadenet,Rudolf Martin",
733,7 Signs of Christ's Return,4.1,340,Prime Video,1997,,Rolf Forsberg,"Edmund Purdom,Michael Rye",
734,The Lord of the Rings: The Motion Picture Trilogy (Extended & Theatrical)(4K Ultra HD),4.8,37902,4K,,,Peter Jackson,"Elijah Wood,Ian McKellen,Liv Tyler,Viggo Mortensen",76.99
735,Nightmare on Elm Street (2010),4.3,5976,Prime Video,2010,R,Samuel Bayer,"Jackie Haley,Kyle Gallner,Rooney Mara,Katie Cassidy",
736,Rumble Fish,4.4,1420,Prime Video,1983,R,Francis Ford Coppola,"Matt Dillon,Mickey Rourke,Diane Lane,Dennis Hopper",3.59
737,9 Hour Rainstorm for Sleep black screen,4.5,107,Prime Video,2017,,,Mark Knight,1.99
738,Pearl: An X-traordinary Origin Story,4.3,3226,Prime Video,2022,R,Ti West,"Mia Goth,David Corenswet,Tandi Wright",3.99
739,Fury,4.7,36077,Prime Video,2014,,David Ayer,"Brad Pitt,Shia LaBeouf,Logan Lerman,Michael Pena",3.99
740,Old School,4.7,12888,Prime Video,2003,R,Todd Phillips,"Luke Wilson,Vince Vaughn,Will Ferrell,Jeremy Piven",3.29
741,Jerry & Marge Go Large,4.6,1959,Prime Video,2022,PG-13,David Frankel,"Bryan Cranston,Annette Bening,Rainn Wilson",3.89
742,The Slammin Salmon,4.5,2528,Prime Video,2009,R,Kevin Heffernan,"Michael Clarke Duncan,Jay Chandrasekhar",
743,Unseen,4.0,70,Prime Video,2023,,Yoko Okumura,"Midori Francis,Jolene Purdy,Missi Pyle",
744,The Boogeyman,4.3,470,Prime Video,2023,PG-13,Rob Savage,"Sophie Thatcher,Chris Messina,Vivien Lyra Blair",5.99
745,World War Z (Extended),4.7,51314,Prime Video,2013,,Marc Forster,"Brad Pitt,Mireille Enos,Fana Mokoena,James Badge Dale",3.79
746,Spider-Man: Far From Home,4.7,123576,Prime Video,2019,PG-13,Jon Watts,"Tom Holland,Jake Gyllenhaal,Michael Keaton",3.79
747,Penelope,4.8,2225,Prime Video,2008,PG,Mark Palansky,"Christina Ricci,James McAvoy,Reese Witherspoon",
748,Bloodshot,4.3,77581,Prime Video,2020,,Dave Wilson,"Vin Diesel,Eiza González,Sam Heughan,Guy Pearce",3.59
749,Wild Card,4.2,8806,Prime Video,2015,R,Simon West,"Jason Statham,Stanley Tucci,Sofia Vergara,Anne Heche",3.99
750,The King's Daughter,4.4,492,Prime Video,2022,PG,Sean Mcnamara,"Pierce Brosnon,Kaya Scodelario,William Hurt",
751,Underworld: Blood Wars,4.7,25928,Prime Video,2017,,Anna Foerster,"Kate Beckinsale,Theo James,Tobias Menzies,Lara Pulver",3.59
752,Tim Burton's Corpse Bride,4.8,21660,Prime Video,2005,PG,"Tim Burton,Mike Johnson","Johnny Depp,Helena Carter,Emily Watson,Tracey Ullman",
753,A Shot in the Dark,4.6,1099,Prime Video,1965,PG,Blake Edwards,"Peter Sellers,Elke Sommer,George Sander",
754,Big Sky River,4.7,117,Prime Video,2022,,Peter Benson,"Kavan Smith,Emmanuelle Vaugier",
755,Sudden Fury,4.5,105,Prime Video,1993,,Craig R. Baxley,"Neil Patrick Harris,Johnny Galecki,Linda Kelsey",
756,Hickok,4.0,758,Prime Video,2017,R,Timothy Woodward Jr.,"Luke Hemsworth,Trace Adkins,Kris Kristofferson",
757,Labor Pains,4.3,138,Prime Video,2009,PG-13,Lara Shapiro,"Lindsay Lohan,Cheryl Hines,Chris Parnell",
758,Prey For The Devil,4.3,5,Prime Video,2022,PG-13,Daniel Stamm,"Jacqueline Byers,Debora Zhecheva,Christian Navarro",
759,Last Knights,4.6,3107,Prime Video,2015,R,Kazuaki Kiriya,"Morgan Freeman,Clive Owen,Shoreh Aghdashloo",
760,Passengers,4.6,28518,Prime Video,2016,PG-13,Morten Tyldum,"Jennifer Lawrence,Chris Pratt,Michael Sheen",3.59
761,Noah,4.0,24063,Prime Video,2014,PG-13,Darren Aronofsky,"Russell Crowe,Jennifer Connelly,Ray Winstone",
762,John Tucker Must Die,4.6,4132,Prime Video,2006,PG-13,Betty Thomas,"Jesse Metcalfe,Brittany Snow,Sophia Bush",3.79
763,The Librarian: The Curse Of The Judas Chalice,4.7,1661,Prime Video,2009,,Jonathan Frakes,Noah Wyle Flynn Carsen,
764,A Cinderella Christmas,4.6,1978,Prime Video,2016,,Tosca Musk,"Emma Rigby,Peter Porte,Sarah Stouffer,Mindy Cohn",
765,Reprisal,4.0,1149,Prime Video,2018,R,Brian A. Miller,"Bruce Willis,Frank Grillo,Johnathon Schaech",
766,The Many Saints Of Newark,4.3,2425,Prime Video,2021,,Alan Taylor,"Alessandro Nivola,Leslie Odom Jr.,Jon Bernthal",3.59
767,Fifty Shades Freed,4.8,20801,Prime Video,2018,R,James Foley,"Dakota Johnson,Jamie Dornan,Eric Johnson,Rita Ora",
768,Lovewrecked,4.2,394,Prime Video,2006,PG,Randal Kleiser,"Amanda Bynes,Chris Carmack,Jonathan Bennett",
769,Scream 4,4.4,32182,Prime Video,2011,R,Wes Craven,"Courteney Cox,David Arquette,Neve Campbell",3.99
770,Indecent Proposal,4.6,2319,Prime Video,1993,R,Adrian Lyne,"Robert Redford,Demi Moore,Woody Harrelson",3.79
771,Child 44,4.3,2697,Prime Video,2015,R,Daniel Espinosa,"Tom Hardy,Gary Oldman,Noomi Rapace,Joel Kinnaman",3.99
772,9/11,4.2,330,Prime Video,2017,R,Martin Guigui,"Charlie Sheen,Whoopi Goldberg,Gina Gershon",
773,American History X,4.7,10845,Prime Video,1998,R,Tony Kaye,"Edward Norton,Edward Furlong,Beverly D'Angelo",3.79
774,Blended,4.8,25770,Prime Video,2014,PG-13,Frank Coraci,"Adam Sandler,Drew Barrymore,Wendi McLendon-Covey",
775,Big Sky River,4.7,117,Prime Video,2022,,Peter Benson,"Kavan Smith,Emmanuelle Vaugier",
776,Odd Thomas,4.6,3962,Prime Video,2014,,Stephen Sommers,"Willem Dafoe,Anton Yelchin,Nico Tortorella",2.99
777,Noah,4.0,24063,Prime Video,2014,PG-13,Darren Aronofsky,"Russell Crowe,Jennifer Connelly,Ray Winstone",
778,Sahara (2005),4.7,5122,Prime Video,2005,,Breck Eisner,"Penélope Cruz,Matthew McConaughey,Steve Zahn",3.79
779,The Best Offer,4.5,777,Prime Video,2014,R,Giuseppe Tornatore,"Geoffrey Rush,Sylvia Hoeks,Jim Sturgess",3.79
780,Independence Day,4.8,7807,Prime Video,1996,PG-13,Roland Emmerich,"Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell",3.79
781,Trolls,4.8,62267,Prime Video,2016,PG,"Mike Mitchell,Walt Dohrn","Christopher Mintz-Plasse,Zooey Deschanel",3.79
782,Marvel Studios' Guardians of the Galaxy,4.8,52995,Prime Video,2014,PG-13,James Gunn,"Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel",3.79
783,The Lost World: Jurassic Park,4.7,16359,Prime Video,1997,PG-13,Steven Spielberg,"Jeff Goldblum,Julianne Moore,Pete Postlethwaite",3.59
784,xXx: Return of Xander Cage,4.5,7823,Prime Video,2017,PG-13,D.J. Caruso,"Vin Diesel,Donnie Yen,Deepika Padukone,Kris Wu",3.49
785,Devotion,4.5,3375,Prime Video,2022,PG-13,J.D. Dillard,"Jonathan Majors,Glen Powell,Christina Jackson",5.89
786,Seal of Desire,4.0,66,Prime Video,2022,,Markiss McFadden,"Markiss McFadden,Ravyn Collier,Mark Justice",
787,Ben Is Back,4.5,3475,Prime Video,2018,R,Peter Hedges,"Julia Roberts,Lucas Hedges,Courtney B. Vance",
788,Guardians of the Galaxy Vol. 3,4.6,11182,Prime Video,2023,PG-13,James Gunn,"Chris Pratt,Zoe Saldaña,Dave Bautista,Karen Gillan",5.99
789,I Am Durán,4.3,241,Prime Video,2019,PG-13,Mat Hodgson,"Roberto Durán,Robert De Niro,Sylvester Stallone",3.99
790,Kingsman: The Secret Service,4.7,44769,Prime Video,2015,R,Matthew Vaughn,"Colin Firth,Samuel L. Jackson,Mark Strong",3.79
791,To Catch a Thief,4.8,3768,Prime Video,1955,PG,Alfred Hitchcock,"Cary Grant,Grace Kelly,Jesse Royce Landis",3.79
792,The Wedding Ringer,4.7,7840,Prime Video,2015,R,Jeremy Garelick,"Kevin Hart,Josh Gad,Affion Crockett",3.99
793,Love in the Limelight,4.7,63,Prime Video,2022,,Ron Oliver,"Alexa PenaVega,Carlos PenaVega",
794,Reprisal,4.0,1149,Prime Video,2018,R,Brian A. Miller,"Bruce Willis,Frank Grillo,Johnathon Schaech",
795,Relative Strangers,4.4,106,Prime Video,2006,PG-13,Greg Glienna,"Danny DeVito,Kathy Bates,Ron Livingston,Neve Campbell",
796,Sudden Fury,4.5,105,Prime Video,1993,,Craig R. Baxley,"Neil Patrick Harris,Johnny Galecki,Linda Kelsey",
797,No manches Frida 2,4.7,2468,Prime Video,2019,R,Nacho G. Velilla,"Martha Higareda,Omar Chaparro,Itatí Cantoral",3.99
798,Sleepy Hollow,4.7,12066,Prime Video,1999,R,Tim Burton,"Johnny Depp,Christina Ricci,Casper Van Dien",
799,The Train,4.8,537,Prime Video,1965,,John Frankenheimer,"Burt Lancaster,Paul Scofield,Michel Simon",
800,Sirens,4.4,303,Prime Video,,,John Duigan,"Elle Macpherson,Hugh Grant,Sam Neill,Tara Fitzgerald",
801,Harry Potter and the Order of the Phoenix,4.9,52031,Prime Video,2007,PG-13,David Yates,"Daniel Radcliffe,Emma Watson,Rupert Grint",3.99
802,Jurassic Park III,4.7,14810,Prime Video,2001,PG-13,Joe Johnston,"Sam Neill,William H. Macy,Téa Leoni,Alessandro Nivola",3.59
803,The Nun II Extended Preview,5.0,1,Prime Video,2023,,Michael Chaves,"Taissa Farmiga,Jonas Bloquet,Storm Reid",
804,The Great Debaters,4.8,3539,Prime Video,2007,PG-13,Denzel Washington,"Denzel Washington,Forest Whitaker,Nate Parker",
805,Gambit,4.3,445,Prime Video,1967,,Ronald Neame,"Shirley MacLaine,Michael Caine,Herbert Lom",3.79
806,Last Knights,4.6,3107,Prime Video,2015,R,Kazuaki Kiriya,"Morgan Freeman,Clive Owen,Shoreh Aghdashloo",
807,Black Girl Erupted,5.0,5,Prime Video,,,Vanessa Bell Calloway,"Vanessa Williams,Vanessa Bell Calloway,B.J. Britt",
808,New Best Friend,4.1,141,Prime Video,2002,R,Zoe Clarke-Williams,"Mia Kirshner,Meredith Monroe,Dominique Swain",3.99
809,Bullet to the Head,4.4,2426,Prime Video,,,Walter Hill,"Sylvester Stallone,Sung Kang,Sarah Shahi",
810,Children of the Corn,4.6,1451,Prime Video,1984,R,Fritz Kiersch,"Peter Horton,Linda Hamilton",2.99
811,The Baker,4.3,281,Prime Video,2023,,Jonathan Sobol,"Ron Perlman,Elias Koteas,Joel David Moore",5.99
812,Destined At Christmas,4.4,232,Prime Video,2022,,Brittany Wiscombe,"Shae Robins,Casey Elliott",
813,So B. It,4.5,301,Prime Video,2017,PG-13,Stephen Gyllenhaal,"Talitha Bateman,Alfre Woodard,Jessica Collins",
814,Last Holiday,4.8,16610,Prime Video,2006,PG-13,Wayne Wang,"Queen Latifah,LL Cool J,Timothy Hutton",3.79
815,Mr. Majestyk,4.6,1366,Prime Video,1974,PG,Richard Fleischer,"Charles Bronson,Al Lettieri,Linda Cristal,Paul Koslo",
816,An Hour Behind,4.4,736,Prime Video,2017,,Brian Brough,"Emily Rose,Barry Watson,Ali Durham,Casey Elliott",
817,"Bucktown, U.S.A.",4.5,155,Prime Video,1975,R,Arthur Marks,"Fred Williamson,Pam Grier,Thalmus Rasulala,Tony King",
818,Juice,4.8,3913,Prime Video,1992,R,Ernest Dickerson,"Omar Epps,Tupac Shakur,Jermaine Hopkins,Khalil Kain",
819,The Quiet Man,4.8,14088,Prime Video,1952,,John Ford,"John Wayne,Maureen O'Hara,Barry Fitzgerald",3.99
820,Horse Soldiers,4.7,1740,Prime Video,1959,,John Ford,"John Wayne,William Holden,Constance Towers",
821,The Wrong Friend,5.0,1,Prime Video,2018,,David DeCoteau,"Vivica A. Fox,Li Eubanks,Michael Paré,Tracy Nelson",
822,The Dressmaker,4.1,4608,Prime Video,2015,R,Jocelyn Moorhouse,"Kate Winslet,Liam Hemsworth,Judy Davis,Hugo Weaving",
823,The Girl Who Believes In Miracles,4.7,8381,Prime Video,2021,PG,Richard Correll,"Mira Sorvino,Austyn Johnson,Kevin Sorbo",
824,Shoelaces For Christmas,4.6,82,Prime Video,2018,,Craig Clyde,"Bailey Chase,Jessica Morris,Mia Topalian",
825,Nurses on the Line: The Crash of Flight 7,5.0,1,Prime Video,1993,PG,Larry Shaw,"Jennifer Lopez,Robert Loggia,Lindsay Wagner",
826,The Invisible Man,4.7,1287,Prime Video,1933,,James Whale,"Claude Rains,Gloria Stuart,William Harrigan",3.79
827,Street Code Broken,4.3,61,Prime Video,2022,,Janaya Black,"Meech Icewood,Denzell Dandridge-Manning,Chelsie",
828,Bottoms,4.5,129,Prime Video,2023,R,Emma Seligman,"Rachel Sennott,Ayo Edebiri,Havana Rose Liu",5.99
829,Cartoon Classics - Vol. 1: 25 Favorite Cartoons - 3 Hours,4.5,521,Prime Video,2017,PG-13,"Max Fleischer,Tex Avery","Bugs Bunny,Daffy Duck,Porky Pig,Little Lulu",
830,The Spy Who Loved Me,4.6,2169,Prime Video,1977,PG,Lewis Gilbert,"Roger Moore,Barbara Bach,Curt Jurgens,Richard Kiel",3.99
831,Dune,4.5,42577,Prime Video,2021,PG-13,Denis Villeneuve,"Timothée Chalamet,Rebecca Ferguson,Oscar Isaac",3.79
832,Ice Girls,4.1,55,Prime Video,2016,PG,Damian Lee,"Natasha Henstridge,Elvis Stojko,Sheila McCarthy",
833,Amish Grace,4.7,645,Prime Video,2010,,Gregg Champion,"Kimberly Williams-Paisley,Tammy Blanchard",
834,Golda,4.3,46,Prime Video,2023,PG-13,Guy Nattiv,"Helen Mirren,Camille Cottin,Lior Ashkenazi",19.99
