,title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
131,Grace of Monaco,4.2,611,Prime Video,2014,,Olivier Dahan,"Nicole Kidman,Tim Roth,Frank Langella,Paz Vega",
132,Act of Valor,4.7,9054,Prime Video,2012,R,"Mike McCoy,Scott Waugh","Roselyn Sanchez,Nestor Serrano,Rorke Denver",
133,Observe and Report,4.5,1285,Prime Video,2009,R,Jody Hill,"Seth Rogen,Anna Faris,Michael Peña,Celia Weston",2.99
134,Indiana Jones and the Dial of Destiny (Bonus Content and X-Ray Features),4.6,6305,Prime Video,2023,PG-13,James Mangold,"Harrison Ford,Phoebe Waller-Bridge,Mads Mikkelsen",19.99
135,Tom & Jerry,4.5,12869,Prime Video,2021,PG,Tim Story,"Chloë Moretz,Michael Peña,Colin Jost,Rob Delaney",3.79
136,"Love & Murder: Atlanta Playboy, Pt. 2",4.5,2,Prime Video,2023,,Jaira Thomas,"Taye Diggs,Keesha Sharp,Rob Brown,Ciera Payton",
137,The Hot Chick,4.7,8715,Prime Video,2002,PG-13,Tom Brady,"Rob Schneider,Anna Faris,Matthew Lawrence",
138,Greater,4.8,3969,Prime Video,2016,PG,David Hunt,"Neal McDonough,Chris Severio,Leslie Easterbrook",
139,Extraction,4.2,2092,Prime Video,2015,R,Steven Miller,"Kellan Lutz,Bruce Willis,Gina Carano,D.B. Sweeney",3.79
140,Saw III,4.5,2562,Prime Video,2006,R,Darren Lynn Bousman,"Tobin Bell,Shawnee Smith,Bahar Soomekh",3.99
141,Fools Rush In,4.8,5717,Prime Video,1997,PG-13,Andy Tennant,"Matthew Perry,Salma Hayek,Jon Tenney,Jill Clayburgh",3.59
142,Legally Blonde,4.8,17794,Prime Video,2001,PG-13,Robert Luketic,"Reese Witherspoon,Luke Wilson,Selma Blair",
143,Blitz,4.4,1431,Prime Video,2011,R,Elliott Lester,"Jason Statham,Paddy Considine,Aidan Gillen",
144,Saw III,4.5,2562,Prime Video,2006,R,Darren Lynn Bousman,"Tobin Bell,Shawnee Smith,Bahar Soomekh",3.99
145,Twilight Saga: Breaking Dawn Part 1,4.7,23519,Prime Video,2011,PG-13,Bill Condon,"Kristen Stewart,Robert Pattinson,Taylor Lautner",3.79
146,Blitz,4.4,1431,Prime Video,2011,R,Elliott Lester,"Jason Statham,Paddy Considine,Aidan Gillen",
147,Fools Rush In,4.8,5717,Prime Video,1997,PG-13,Andy Tennant,"Matthew Perry,Salma Hayek,Jon Tenney,Jill Clayburgh",3.59
148,Puss in Boots,4.8,4079,Prime Video,2011,PG,Chris Miller,"Antonio Banderas,Salma Hayek,Zach Galifianakis",
149,Amy's F It List,4.2,74,Prime Video,2023,,Mark S. Allen,"Alyson Gorske,Angel Prater,Mark DeCarlo",3.99
150,One for the Money,4.5,5094,Prime Video,2012,PG-13,Julie Anne Robinson,"Katherine Heigl,Jason O'Mara,Daniel Sunjata",
151,10 YEARS,4.3,1417,Prime Video,2012,PG-13,Jamie Linden,"Channing Tatum,Chris Pratt,Jenna Dewan-Tatum",3.99
152,Violent Night,4.4,7120,Prime Video,2022,R,Tommy Wirkola,"David Harbour,John Leguizamo,Alex Hassell",4.19
153,Blood and Money,4.0,3800,Prime Video,2020,,John Barr,"Tom Berenger,Kristen Hager,Paul Ben-Victor",
154,Sisu,4.5,8132,Prime Video,2023,R,Jalmari Helander,"Onni Tommila,Jorma Tommila,Aksel Hennie,Jack Doolan",5.99
155,The Peanut Butter Falcon,4.7,34754,Prime Video,2019,PG-13,"Michael Schwartz, Tyler Nilson","Zack Gottsagen,Ann  Owens",3.99
156,Beast,4.1,9766,Prime Video,2022,R,Baltasar Kormakur,"Liyabuya Gongo,Martin Munro,Daniel Hadebe",3.99
157,Bewitched,4.5,1967,Prime Video,2005,,Nora Ephron,"Nicole Kidman,Will Ferrell,Shirley MacLaine",3.99
158,The Night Clerk,4.0,1309,Prime Video,2020,R,Michael Cristofer,"Tye Sheridan,Ana de Armas,John Leguizamo,Helen Hunt",
159,Wild Target,4.4,1465,Prime Video,2010,PG-13,Jonathan Lynn,"Bill Nighy,Emily Blunt,Rupert Grint,Rupert Everett",3.99
160,Teenage Mutant Ninja Turtles,4.5,18919,Prime Video,2014,PG-13,Jonathan Liebesman,"Megan Fox,Will Arnett,William Fichtner",
161,The Secret: Dare to Dream,4.6,35984,Prime Video,2020,PG,Andy Tennant,"Katie Holmes,Josh Lucas,Jerry O'Connell,Celia Weston",3.99
162,"Legally Blonde 2: Red, White & Blonde",4.6,7352,Prime Video,2003,PG-13,Charles Herman-Wurmfeld,"Reese Witherspoon,Sally Field,Regina King",
163,Leap!,4.8,10118,Prime Video,2017,PG,"Eric Summer,Eric Warin","Elle Fanning,Nat Wolff,Maddie Ziegler,Mel Brooks",
164,The Darkest Minds,4.5,6665,Prime Video,2018,PG-13,Jennifer Yuh Nelson,"Amandla Stenberg,Mandy Moore,Gwendoline Christie",
165,Green Lantern,4.4,8380,Prime Video,2011,PG-13,Martin Campbell,"Ryan Reynolds,Blake Lively,Peter Sarsgaard",2.89
166,The Pig Farm,4.0,5,Prime Video,2011,,Christine Nielsen,"Maggie Huculak,Robert Pickton",
167,Mars Attacks!,4.6,11508,Prime Video,1996,PG-13,Tim Burton,"Jack Nicholson,Glenn Close,Annette Bening",3.79
168,The Watch,4.3,7037,Prime Video,2012,R,Akiva Schaffer,"Ben Stiller,Vince Vaughn,Jonah Hill,Richard Ayoade",
169,Blow,4.7,6760,Prime Video,2001,R,Ted Demme,"Johnny Depp,Penélope Cruz,Franka Potente",
170,The Birdcage,4.8,15514,Prime Video,1996,R,Mike Nichols,"Robin Williams,Gene Hackman,Nathan Lane",
171,Deadly Entanglement,4.7,4,Prime Video,2023,,Bobby Yan,"Monica Calhoun,Jessica A. Caesar,Vanessa Simmons",
172,Solace,4.3,4154,Prime Video,2016,R,Afonso Poyart,"Anthony Hopkins,Jeffrey Dean Morgan,Abbie Cornish",3.79
173,Hercules (2014),4.3,18251,Prime Video,2014,PG-13,Brett Ratner,"John Hurt,Dwayne Johnson",
174,2 Guns,4.6,10764,Prime Video,2013,R,Baltasar Kormakur,"Denzel Washington,Mark Wahlberg,Paula Patton",2.99
175,Clifford the Big Red Dog,4.7,4382,Prime Video,2021,PG,Walt Becker,"Jack Whitehall,Darby Camp,Tony Hale,Sienna Guillory",3.89
176,Army of Darkness,4.8,11428,Prime Video,1993,R,Sam Raimi,"Bruce Campbell,Embeth Davidtz,Marcus Gilbert",3.99
