id,viewCount,likeCount,favoriteCount,commentCount
e9Qrt4LiF5I,42694,892,0,123
qBaDkjL5VmI,1803215,19191,0,488
73xpS_lHWfc,2026000,26201,0,2585
gCQECEUZz54,52624,1292,0,84
qhVD8oUMhOk,233334,12403,0,63
CCIvAB2OyF4,3325049,7645,0,416
eTwVbL5Y1CQ,20841,487,0,169
nXLpMPrk-MI,93830,2962,0,183
apC56JFf1Ow,119743,2499,0,158
rxk1FnZWan4,79882,1143,0,62
AJYdw9fexTM,128647,3178,0,61
3EEyMjmN32E,29097,1173,0,18
yYVEsIW0FxY,3673914,44516,0,4057
QNCwCf7CUoM,45358,1014,0,112
DcFfMIUwPqg,12912,336,0,50
d3q3JmW6C6E,10035,201,0,15
1Hbg6xsdxSA,14315,176,0,16
oBsYDxGnVh4,46133,1091,0,71
q43765eNLvg,112816,4621,0,35
wepMjJTIWSM,251560,15269,0,59
ZP9nKWD0n1c,18595,2287,0,105
REjkgbpBVvY,127674,3006,0,161
Px07XaY0Uvc,18182,434,0,94
dsGwcAKh4aY,10847,201,0,36
i7TWh4fq18E,15922,643,0,17
Q7ZWT-YG0Xo,345146,8695,0,377
YOGHHZv9LtU,10722,269,0,45
6z-Ug4W4RMc,71145,1278,0,85
Y295QdlHqT8,121908,2886,0,205
Nnop2walGmM,32096088,208403,0,2633
4HMU2xvqnTk,789889,7202,0,252
r-BAhGM-dmA,12350932,36229,0,437
ow77NqggH-0,40147761,212403,0,2783
aY7uTMIsIm0,5502919,65593,0,3410
X6AaXb761SA,92156,2898,0,261
47HmYVRQI2s,38091,347,0,24
gRMuaQgG32c,320703,9153,0,288
el3jPo6ehuY,1191480,8119,0,271
NgNgnL2n1Y8,291738,6701,0,305
rI5lECgTrrk,22366,717,0,61
Kn9FJsNOaUU,34576834,369174,0,60761
3rWL1mavaKQ,58216692,381070,0,15307
m5Lgc1upeOw,10073434,67809,0,10549
6qbGFlBVrwQ,2165375,3772,0,230
iYoteInowCA,459844,15225,0,410
J28vVkQN9l0,3129947,41947,0,4388
Y56tahMIlPE,6270,194,0,21
XgZRURI_os0,6948,171,0,16
xf0coHBP5Gk,3705,73,0,9
KkJHd7fMk9M,4158,85,0,5
LhsYq8elMDM,4832,78,0,4
